"conference_acronym","conference_name","conference_location"
"LKE 2017","5th International Symposium on Language & Knowledge Engineering","Puebla, Mexico"
"DMIP 2017","The 1st ICDM Workshop on Data Mining in Practice: Automation and Cost","New Orleans (USA)"
"ICON 2017","14th International Conference on Natural Language Processing ","Jadavpur University, Kolkata, India"
"SIGSPATIAL Workshops  2017","SIGSPATIAL Workshops 2017","Redondo Beach, California, USA "
"INCISCOS 2017","2nd International Conference on Information Systems and Computer Science","Quito - Ecuador"
"BDCAT 2017","The 4th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies","Austin, Texas, USA"
"TRAP 2017","First European Conference on Traffic Mining Applied to Police Activities","Rome"
"DSHCM  2017","Final Call for Papers - The 1st International Workshop on Data Science for Human Capital Management (collocated with IEEE ICDM'17)","New Orleans, LA, USA"
"BDVA 2017","International Symposium on Big Data Visual Analytics","Adelaide, Australia"
"ICT & KE 2017","The 15th International Conference on ICT and Knowledge Engineering","Bangkok, Thailand"
"ICDM ARIAL 2017","1st Workshop on Data mining for Aging, Rehabilitation and Independent Assisted Living (ARIAL) in conjunction with International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"SERecSys 2017","2nd ICDM Workshop on Semantics-Enabled Recommender Systems","New Orleans (USA)"
"DAPS 2017","Data mining for the Analysis of Performance and Success (workshop @ ICDM2017)","New Orleans"
"HighStream@ICDM 2017","1st High-Performance Data Stream Mining Workshop at International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"HighStream@ICDM 2017","1st High-Performance Data Stream Mining Workshop at International Conference on Data Mining (ICDM'2017)","New Orleans, USA"
"DMCS  2017","DMCS - Data Mining for Cyber Security 2017 (collocated with IEEE ICDM'17)","New Orleans"
"IEEE Big Data 2017","2017 IEEE International Conference on Big Data","Boston, MA, USA"
"ICDM - MoDAT 2017","The 5th International Workshop on the Market of Data - Creating tools, data, and sensors from the Social Intelligence ","New Orleans, USA"
"ACUMEN 2017","Data Science for Human Performance in Social Networks","ICDM17, New Orleans, USA"
"ACML 2017","The 9th Asian Conference on Machine Learning","Seoul, Korea"
"ACML  2017","The 9th Asian Conference on Machine Learning","Seoul, Korea"
"ICICT 2017","CFP - The IEEE International Conference ICICT at India, Due: 4 Aug 2017","India"
"ICPET 2017","International Conference on Promising Electronic Technologies 2017","Deir El-Balah, Palestine"
"HPGDML 2017","High Performance Graph Data Mining and Machine Learning Workshop","New Orleans, USA"
"FICC 2018","The FICC 2018 at Singapore, Paper Submission Due: August 1st 2017","Singapore"
"IP&M SI 2017","IP&M Special Issue on Processing Social Media in Real-Time","N/A"
"GDM book 2017","Data Analytics Applications in Gaming and Entertainment","N/A"
"BAFI 2018","Business Analytics in Finance and Industry","Santiago, Chile"
"GISCUP  2017","The 6th GIS-focused algorithm competition, GISCUP 2017","Los Angeles, CA"
"ADMA 2017","The 13th International Conference on Advanced Data Mining and Applications","Singapore"
"Workshop on Massive Dataflow Analysis 2017","In conjunction The 14th ACS/IEEE International Conference on Computer Systems and Applications (AICCSA 2017)","Hammamet, Tunisia"
"KDD 2017","Networking with Experts - Call for Proposals","Halifax, Nova Scotia"
"DEAs 2017","Data Enabled Applications 2017","Universiti Teknologi Brunei"
"MIWAI 2017","The 11th Multi-disciplinary International Workshop on Artificial Intelligence","Brunei"
"FADS 2017","International Conference on the Frontiers and Advances in Data Science","Xi'an, China"
"LIDTA 2017","1st International Workshop on Learning with Imbalanced Domains: Theory and Applications","Skopje, Macedonia"
"IEEE ITOEC 2017","2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference ","Chongqing"
"MLSA 2017","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2017)","Skopje"
"SoGood 2017","2nd Workshop on Data Science for Social Good @ ECML PKDD","Skopje, Macedonia"
"ICDIM 2017","Twelfth International Conference on Digital Information Management ","Fukuoka, Japan"
"EIDSS 2017","Exploring Intelligent Decision Support Systems: Current State and  New Trends","N/A"
"IDEAL 2017","18th International Conference on Intelligent Data Engineering and Automated Learning ","Guilin, China"
"MoD@ITSC 2017","1st ITSC Workshop on Modelling, Analysis and Control of Intelligent Mobility-on-Demand Systems","Yokohama, Japan"
"BDBI 2017","3rd CFC: Utilizing Big Data Paradigms for Business Intelligence","N/A"
"DMBD 2017","DMBD'2017£ºCall for Papers (Jan. 30, 2017)","Fukuoka, Japan"
"KDD 2017","Call for Participation: KDD'17 registration is now open","Halifax, Nova Scotia, Canada"
"RecSysKTL 2017","Workshop on Intelligent Recommender Systems by Knowledge Transfer and Learning","Como, Italy"
"SABID - ApJS 2017","Management, Search and Analysis of Solar and Stellar Astronomy Big Data (SABID) - SPECIAL ISSUE IN JOURNAL","Astrophysical Journal - Supplement Serie"
"KDD 2017","KDD 2017 Startup Travel Awards - Final Call for Applications","Halifax, Nova Scotia"
"EGR 2017","Call for Proposals: LinkedIn Economic Graph Research","N/A"
"SIGSPATIAL 2017","The 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (ACM SIGSPATIAL GIS 2017)","Los Angeles, CA"
"EnGeoData@DSAA 2017","Special Session EnGeoData - Environmental and Geo-spatial Data Analytics - DSAA'2017"," Tokyo, Japan"
"DSAA 2017","The 4th IEEE International Conference on Data Science and Advanced Analytics 2017","Tokyo, Japan"
"DS 2017","The 20th International Conference on Discovery Science","Kyoto, Japan"
"ICDM 2017","IEEE International Conference on Data Mining 2017","NEW ORLEANS, USA"
"IDEA 2017","KDD 2016 Workshop on Interactive Data Exploration and Analytics (KDD-IDEA)","Halifax, Nova Scotia, Canada"
"DaMIS 2017","DaMIS 2017: The 2nd Edition of the International Workshop on Data Mining on IoT Systems","Lund, Sweden"
"AusDM 2017","15th Australasian Data Mining Conference","Melbourne, Australia"
"UrbComp 2017","UrbComp 2017 : The 6th International Workshop on Urban Computing (in conjunction with KDD'17)","Halifax, Canada"
"KDD MiLeTS Workshop 2017","SIGKDD Workshop on Mining and Learning from Time Series (MiLeTS 2017)","Halifax, Nova Scotia, Canada"
"Fashion-ML-KDD 2017","Machine Learning Meets Fashion ","Halifax, Nova Scotia - Canada"
"MLG 2017","13th International Workshop on Mining and Learning with Graphs","Halifax, Nova Scotia, Canada"
"CD 2017","The 2017 ACM SIGKDD Workshop on Causal Discovery ","Halifax, Nova Scotia, Canada"
"SML 2017","IJCAI Workshop on Semantic Machine Learning (SML 2017)  ","Melbourne, Australia"
"LDM 2017","The 2017 International Workshop on Linked Data Mining","Hefei, China"
"EvoNets@DSAA 2017","Special Session on on Evolving Networks - DSAA'2017","Tokyo, Japan"
"DSSD 2017","Data Science in Societal Debates","Tokyo, Japan"
"Game Data Science 2017","Special Session on Game Data Science at IEEE DSAA2017","Tokyo"
"AKTS 2017","Special Session on Innovative Applications for Knowledge Transfer Support","Druskininkai, Lithuania"
"BIOKDD 2017","International Workshop on Data Mining in Bioinformatics (BIOKDD'17)","Halifax, Canada"
"CIARP 2017","22nd Iberoamerican Congress on Pattern Recognition","Valparaiso, Chile"
"INIT/AERFAISummerSchoolML 2017","INIT/AERFAI Summer School on Machine Learning","Benic¨¤ssim (Spain)"
"DIM 2017","Extended: The Six IEEE International Workshop on Data Integration and Mining","San Diego, USA"
"DIPDMWC 2017","The Fourth International Conference on Digital Information Processing, Data Mining and Wireless Communication (DIPDMWC2017)","Universitas Mercu Buana - Meruya Campus"
"IDA 2017","The Sixteenth International Symposium on Intelligent Data Analysis","London, UK"
"WISE 2017","WISE 2017: The 18th International Conference on Web Information Systems Engineering","Moscow, Russia"
"Workshop - DMIN 2017","Workshop on Data Mining in Transportation Security","Las Vegas, Nevada"
"ICIIP 2018","¡¾ACM-ICPS¡¿Ei Compendex - Scopus - 2018 3rd International Conference on Intelligent Information Processing","Guilin"
"DTWSM 2017","The 4th International Workshop on Data, Text, Web, and Social Network Mining","Helsinki, Finland"
"AdCHIReS 2017","Special Issue on Advances in Computer-Human Interaction for Recommender Systems","N/A"
"KDD 2017","CALL FOR 2017 ACM SIGKDD INNOVATION AND SERVICE AWARDS NOMINATIONS","Halifax, Nova Scotia, Canada"
"WPRSM 2017","The International Workshop on Web Personalization, Recommender Systems and Social Media","Leipzig, Germany "
"COREDEMA 2017","3rd International Workshop on Conflict Resolution in Decision Making","Melbourne, Austrailia"
"APDM 2017","IJCAI 2017 Workshop: Abuse Preventive Data Mining 2017","Melbourne"
"AIST 2017","The 6th International Conference on Analysis of Images, Social Networks, and Texts","Moscow, Russia"
"AIM@EPIA 2017","Artificial Intelligence in Medicine","Porto, Portugal"
"BI 2017","The 2017 International Conference on Brain Informatics","Beijing, China"
"KDD 2017","ACM SIGKDD TEST-OF-TIME PAPER AWARDS - CALL FOR NOMINATION","Halifax, Nova Scotia, Canada"
"KES PR TAC 2017","Extended Deadline KES 2017 Session on Pattern Recognition: Trends, Applications and Challenges","Marseille, France"
"KDD 2017","2017 SIGKDD Doctoral Dissertation Award","Halifax, Nova Scotia, Canada"
"GTM 2017","7th Global TechMining Conference","Atlanta, GA"
"SI-IJCSA 2017","Special Issue on Advances in Computing","N/A"
"DSCI 2017","CFP deadline Apr 28 23:59 GMT, Data Science and Computational Intelligence@San Francisco, USA","San Francisco"
"ECML-PKDD 2017","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery","Skopje, Macedonia"
"WPDM 2017","The first International Workshop on Parallel Data Mining","Genoa, Italy"
"ST-Analytics 2017","Advances in Spatio-Temporal Analytics","Trieste, Italy"
"IEEE ISI 2017","2017 IEEE International Conference on Intelligence and Security Informatics","Beijing, China"
"IEEE ISI 2017","The 2017 IEEE International Conference on Intelligence and Security Informatics (ISI)","Beijing"
"IEEE ISI 2017","IEEE International Conference on Intelligence and Security Informatics (ISI)","Beijing, China"
"Special Session in SMC 2017","Special Session on Information Systems for Design and Marketing in IEEE SMC 2017","Banff, Canada"
"AI 2017","30th Australasian Joint Conference on Artificial Intelligence","Melbourne, Australia"
"EnCHIReS  2017","2nd ACM EICS Workshop on Engineering Computer-Human Interaction in Recommender Systems","Lisbon, Portugal"
"INDIA 2017","Knoweldge-driven Computing (KDC) Special Session at INDIA-2017 International Conference","Vietnam"
"SMMA 2017","CFP Deadline Mar 31st: Social Media Mining and Analysis 2017 @Great Britain","Exeter, England"
"AISI 2017","The 3rd International Conference on Advanced Intelligent Systems and Informatics ","Cairo, Egypt"
"SDAM 2017","Special Session on Smart Data and Data Analytics for Automation and Manufacturing Systems  at IEEE 15th Conference on Industrial Inforamtics INDIN'2017 ","Emden, Germany"
"IJCRS 2017","International Joint Conference on Rough Sets","Olsztyn, Poland"
"DaWaK 2017","19th International Conference on Big Data Analytics and Knowledge Discovery","Lyon, France"
"Smart X 2017","The 2017 International Conference on Smart X","Guangzhou"
"DEW 2017","Data Exploration in the Web 3.0 Age (IEEE WETICE 2017 track)","Poznan, Poland"
"ACM-BCB 2017","8th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics - Call for Tutorials","Boston, MA"
"GeoRich 2017","GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5","TBD"
"GeoRich 2017","GeoRich 2017 : GeoRich@SIGMOD/PODS 2017: Submission Deadline Extended to March 5 - CORRECT DATES","TBD"
"NetCrime 2017","Symposium on the Structure and Mobility of Crime","Indianapolis, Indiana, USA"
"DATA 2017","6th International Conference on Data Science, Technology and Applications","Madrid, Spain"
"FUSION 2017","20th International Conference on Information Fusion","Xi'an, China"
"KDD 2017","Call for Workshop Proposals","Halifax, Nova Scotia, Canada"
"KDD 2017","Call for Tutorials","Halifax, Nova Scotia, Canada"
"LDK 2017","Language, Data and Knowledge","Galway/Ireland"
"IJSE-SI-EMOM 2017","Special Issue on: Advances in Emotion mining and Opinion mining(IJSE)","N/A"
"GeoRich @ ACM SIGMOD/PODS 2017","GeoRich 2017 - ACM SIGMOD Workshop on Managing and Mining Enriched Geo-Spatial Data","Raleigh, NC, USA"
"KDD 2017","Call for Research Papers","Halifax, Nova Scotia, Canada"
"KDD 2017","Call for Applied Data Science Papers","Halifax, Nova Scotia, Canada"
"FASOMA 2017","Special Session on Foundations and Applications of Social Media Analysis","Naples, Italy"
"KES IDT DSS 2017","KES IDT - Decision Support Systems - Special Session","Vilamoura, Algarve, Portugal"
"HAIS 2017","The 12th International Conference on Hybrid Artificial Intelligence Systems","Logro<U+00F1>o (La Rioja) Spain"
"KES IDT DSS 2017","extended deadline and scope of the KES IDT DSS 2017 : KES IDT - Decision Support Systems - Special Session","Vilamoura, Algarve, Portugal"
"HAIS 2017","The 12th International Conference on Hybrid Artificial Intelligence Systems","La Rioja, Spain"
"ISMIS 2017","23rd International Symposium on Methodologies for Intelligent Systems","Warsaw, Poland"
"WASMM 2017","Web and Social Media Mining- PAAMS Special Session","Porto, Portugal"
"CCSEA 2019","9th International Conference on Computer Science, Engineering and Applications","Toronto, Canada"
"JoL 2018","International Journal of Law ","N/A"
"DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
